PayrollID,EmpID,JobID,SalaryID,LeaveID,Date,Report,TotalAmount
1,1,1,1,1,2024-04-30,April Payroll,40500
2,2,2,2,2,2024-04-30,April Payroll,45500
3,3,3,3,3,2024-04-30,April Payroll,39500
4,4,4,4,4,2024-04-30,April Payroll,43500
5,5,5,5,5,2024-04-30,April Payroll,38500
6,6,6,6,6,2024-04-30,April Payroll,42500
7,7,7,7,7,2024-04-30,April Payroll,44500
8,8,8,8,8,2024-04-30,April Payroll,45500
9,9,9,9,9,2024-04-30,April Payroll,40500
10,10,10,10,10,2024-04-30,April Payroll,38500
11,11,11,11,11,2024-04-30,April Payroll,49500
12,12,12,12,12,2024-04-30,April Payroll,51500
13,13,13,13,13,2024-04-30,April Payroll,50500
14,14,14,14,14,2024-04-30,April Payroll,48500
15,15,15,15,15,2024-04-30,April Payroll,47500
16,16,16,16,16,2024-04-30,April Payroll,50500
17,17,17,17,17,2024-04-30,April Payroll,49500
18,18,18,18,18,2024-04-30,April Payroll,51500
19,19,19,19,19,2024-04-30,April Payroll,49500
20,20,20,20,20,2024-04-30,April Payroll,48500
21,21,21,21,21,2024-04-30,April Payroll,46500
22,22,22,22,22,2024-04-30,April Payroll,47500
23,23,23,23,23,2024-04-30,April Payroll,45500
24,24,24,24,24,2024-04-30,April Payroll,47500
25,25,25,25,25,2024-04-30,April Payroll,45500
26,26,26,26,26,2024-04-30,April Payroll,46500
27,27,27,27,27,2024-04-30,April Payroll,44500
28,28,28,28,28,2024-04-30,April Payroll,49500
29,29,29,29,29,2024-04-30,April Payroll,45500
30,30,30,30,30,2024-04-30,April Payroll,50500
31,31,31,31,31,2024-04-30,April Payroll,41500
32,32,32,32,32,2024-04-30,April Payroll,48500
33,33,33,33,33,2024-04-30,April Payroll,49500
34,34,34,34,34,2024-04-30,April Payroll,46500
35,35,35,35,35,2024-04-30,April Payroll,45500
36,36,36,36,36,2024-04-30,April Payroll,43500
37,37,37,37,37,2024-04-30,April Payroll,44500
38,38,38,38,38,2024-04-30,April Payroll,47500
39,39,39,39,39,2024-04-30,April Payroll,45500
40,40,40,40,40,2024-04-30,April Payroll,46500
41,41,41,41,41,2024-04-30,April Payroll,48500
42,42,42,42,42,2024-04-30,April Payroll,43500
43,43,43,43,43,2024-04-30,April Payroll,49500
44,44,44,44,44,2024-04-30,April Payroll,45500
45,45,45,45,45,2024-04-30,April Payroll,47500
46,46,46,46,46,2024-04-30,April Payroll,48500
47,47,47,47,47,2024-04-30,April Payroll,46500
48,48,48,48,48,2024-04-30,April Payroll,43500
49,49,49,49,49,2024-04-30,April Payroll,48500
50,50,50,50,50,2024-04-30,April Payroll,47500
51,51,51,51,51,2024-04-30,April Payroll,50500
52,52,52,52,52,2024-04-30,April Payroll,46500
53,53,53,53,53,2024-04-30,April Payroll,49500
54,54,54,54,54,2024-04-30,April Payroll,46500
55,55,55,55,55,2024-04-30,April Payroll,43500
56,56,56,56,56,2024-04-30,April Payroll,42500
57,57,57,57,57,2024-04-30,April Payroll,48500
58,58,58,58,58,2024-04-30,April Payroll,45500
59,59,59,59,59,2024-04-30,April Payroll,44500
60,60,60,60,60,2024-04-30,April Payroll,47500
